Number,Daily Time Spent on Site,Daily Internet Usage,Ad Topic Line,Clicked on Ad
740,83.91,222.87,Distributed bifurcated challenge,0
741,79.8,,Customizable zero-defect Internet solution,0
742,71.23,122.59,Self-enabling zero administration neural-net,1
744,82.37,207.44,Open-architected system-worthy ability,0
745,43.63,135.25,Quality-focused maximized extranet,1
746,70.9,190.95,Centralized client-driven workforce,0
747,71.9,193.29,De-engineered intangible flexibility,0
748,62.12,105.86,Re-engineered intangible software,1
749,67.35,118.69,Sharable secondary Graphical User Interface,1
750,57.99,124.58,Innovative homogeneous alliance,1
751,66.8,248.51,Diverse leadingedge website,1
752,49.13,120.49,Optimized intermediate help-desk,1
753,45.11,195.69,Sharable reciprocal project,1
754,54.35,164.02,Proactive interactive service-desk,0
755,61.82,151.93,Open-architected needs-based customer loyalty,1
756,77.75,240.64,Multi-lateral motivating circuit,0
757,70.61,190.12,Assimilated encompassing portal,0
758,82.72,,Cross-group global orchestration,0
759,76.87,,Down-sized bandwidth-monitored core,0
760,65.07,227.53,Monitored explicit hierarchy,0
761,56.93,111.8,Reactive demand-driven strategy,1
762,48.86,128.37,Universal empowering adapter,1
763,36.56,195.89,Team-oriented bi-directional secured line,1
764,85.73,147.75,Stand-alone radical throughput,1
765,75.81,229.19,Inverse zero-defect capability,0
766,72.94,190.84,Multi-tiered real-time implementation,0
767,53.63,126.29,Front-line zero-defect array,1
768,52.35,147.61,Mandatory 4thgeneration structure,1
769,52.84,121.57,Synergistic asynchronous superstructure,1
770,,,Vision-oriented system-worthy forecast,1
771,42.32,187.09,Digitized radical architecture,1
772,55.04,106.96,Quality-focused optimizing parallelism,1
773,68.58,171.54,Exclusive discrete firmware,1
774,85.54,175.43,Right-sized solution-oriented benchmark,0
775,71.14,,Assimilated stable encryption,0
776,64.38,,Configurable dynamic secured line,0
777,,213.96,Cloned optimal leverage,0
778,66.79,198.3,Decentralized client-driven data-warehouse,1
779,32.6,185.47,Multi-tiered interactive neural-net,1
780,,166.85,Enhanced methodical database,1
782,72.18,225.02,De-engineered attitude-oriented projection,0
783,52.67,191.26,Persevering 5thgeneration knowledge user,1
784,80.55,219.91,Extended grid-enabled hierarchy,0
785,,202.7,Reactive tangible contingency,1
786,75.55,123.71,Decentralized attitude-oriented interface,1
787,80.46,230.78,Mandatory coherent groupware,0
788,82.69,167.41,Fully-configurable eco-centric frame,0
789,,154.0,Advanced disintermediate data-warehouse,1
791,74.07,,Cross-group non-volatile secured line,0
792,,197.66,Expanded modular application,1
793,85.62,195.68,Triple-buffered systematic info-mediaries,0
794,40.88,,Networked non-volatile synergy,1
795,36.98,167.87,Fully-configurable clear-thinking throughput,1
797,56.56,204.47,Compatible composite project,0
798,36.62,162.44,Customer-focused solution-oriented software,1
799,49.35,119.86,Inverse stable synergy,1
800,75.64,204.82,Pre-emptive well-modulated moderator,0
801,79.22,198.79,Intuitive modular system engine,0
802,77.05,236.08,Centralized value-added hierarchy,0
803,66.83,196.17,Assimilated hybrid initiative,0
804,76.2,228.81,Optimized coherent Internet solution,0
805,56.64,123.24,Versatile 6thgeneration parallelism,1
806,53.33,111.63,Configurable impactful productivity,1
807,50.63,142.23,Operative full-range forecast,1
808,,139.32,Operative secondary functionalities,1
809,53.92,125.46,Business-focused transitional solution,1
810,83.89,180.88,Ameliorated intermediate Graphical User Interface,0
811,55.32,127.65,Managed 24hour analyzer,1
812,53.22,108.85,Horizontal client-server database,1
813,43.16,156.11,Implemented didactic support,1
814,,127.2,Digitized homogeneous core,1
815,43.16,143.04,Robust holistic application,1
816,79.89,241.38,Synergized uniform hierarchy,0
817,84.25,170.9,Pre-emptive client-driven secured line,0
818,74.18,203.87,Front-line even-keeled website,0
819,85.78,232.78,Persistent fault-tolerant service-desk,0
820,,225.0,Integrated leadingedge frame,0
821,36.91,159.69,Ameliorated coherent open architecture,1
822,54.47,141.52,Vision-oriented bifurcated contingency,1
823,81.98,212.88,Up-sized maximized model,0
824,79.6,194.23,Organized global flexibility,0
825,57.51,105.71,Re-engineered zero-defect open architecture,1
826,82.3,232.21,Balanced executive definition,0
827,,252.6,Networked logistical info-mediaries,1
828,79.09,,Optimized multimedia website,0
829,68.47,226.64,Focused coherent success,0
830,83.69,192.57,Robust context-sensitive neural-net,0
831,83.48,222.72,Intuitive zero administration adapter,0
832,43.49,124.67,Synchronized full-range portal,1
833,,108.27,Integrated encompassing support,1
834,48.46,132.38,Devolved human-resource circuit,1
835,42.51,144.77,Grass-roots transitional flexibility,1
836,42.83,132.38,Vision-oriented methodical support,1
837,41.46,128.98,Integrated impactful groupware,1
838,45.99,124.61,Face-to-face methodical intranet,1
839,68.72,,Fundamental tangible moratorium,0
840,63.11,254.94,Balanced mobile Local Area Network,0
841,49.21,115.6,Realigned 24/7 core,1
842,55.77,117.33,Fully-configurable high-level groupware,1
843,44.13,128.48,Ameliorated discrete extranet,1
844,57.82,107.56,Centralized asynchronous portal,1
845,72.46,113.53,Enhanced tertiary utilization,1
846,61.88,108.18,Balanced disintermediate conglomeration,1
847,78.24,,Sharable value-added solution,0
848,74.61,231.28,Networked impactful framework,0
849,89.18,224.01,Public-key impactful neural-net,0
850,44.16,133.42,Innovative interactive portal,1
851,55.74,124.34,Networked asymmetric infrastructure,1
852,88.82,169.1,Assimilated discrete strategy,0
853,70.39,261.52,Phased 5thgeneration open system,0
854,59.05,118.45,Upgradable logistical flexibility,1
855,78.58,250.11,Centralized user-facing service-desk,0
856,35.11,158.03,Extended analyzing emulation,1
858,81.56,213.7,Open-source scalable protocol,0
859,75.03,255.57,Networked local secured line,1
860,50.87,190.41,Programmable empowering orchestration,1
862,78.51,205.71,Focused web-enabled Graphical User Interface,0
863,37.65,161.29,Automated stable help-desk,1
864,83.17,244.4,Managed national hardware,0
865,91.37,182.65,Re-engineered composite moratorium,1
866,,220.08,Phased fault-tolerant definition,0
867,81.32,165.65,Pre-emptive next generation Internet solution,0
868,76.64,241.5,Reverse-engineered web-enabled support,0
869,74.06,246.29,Horizontal intermediate monitoring,0
870,,142.21,Intuitive transitional artificial intelligence,1
871,86.58,195.93,Business-focused asynchronous budgetary management,0
872,90.75,216.5,Decentralized methodical capability,0
873,67.71,225.76,Synergized intangible open system,0
874,82.41,222.08,Stand-alone logistical service-desk,0
875,45.82,171.24,Expanded full-range synergy,1
876,76.79,235.94,Open-architected intangible strategy,0
877,70.05,203.44,Diverse directional hardware,0
878,72.19,250.32,Balanced discrete approach,0
879,77.35,167.26,Total bi-directional success,0
880,40.34,173.75,Object-based motivating instruction set,1
881,67.39,107.19,Realigned intermediate application,1
