Number,Age,Male,City,Country,Area Income
5,,0.0,Wrightburgh,Tunisia,61833.9
6,31.0,,West Jodi,Nauru,68441.85
7,26.0,0.0,Davidton,San Marino,59785.94
8,29.0,1.0,West Terrifurt,Italy,54806.18
9,,0.0,South Manuel,Iceland,73889.99
10,23.0,1.0,,Norway,59761.56
11,33.0,0.0,Brandonstad,Myanmar,53852.85
12,48.0,1.0,Port Jefferybury,Australia,24593.33
14,20.0,,Ramirezton,Ghana,55642.32
15,49.0,,West Brandonton,Qatar,45632.51
17,48.0,1.0,West Katiefurt,Egypt,51636.92
18,24.0,0.0,,Bosnia and Herzegovina,51739.63
19,33.0,0.0,,Barbados,30976.0
20,23.0,,,Spain,52182.23
21,,0.0,West Dylanberg,Palestinian Territory,23936.86
22,41.0,0.0,Pruittmouth,Afghanistan,71511.08
23,36.0,1.0,Jessicastad,British Indian Ocean Territory (Chagos Archipelago),31087.54
24,40.0,1.0,Millertown,Russian Federation,23821.72
25,30.0,1.0,,Cameroon,64802.33
26,35.0,,Lake Nicole,Cameroon,60015.57
27,52.0,0.0,South John,Burundi,32635.7
28,36.0,,Pamelamouth,Korea,61628.72
29,41.0,0.0,Harperborough,Tokelau,68962.32
30,28.0,1.0,Port Danielleberg,Monaco,64828.0
31,,1.0,West Jeremyside,Tuvalu,38067.08
33,34.0,,Palmerside,British Virgin Islands,32708.94
34,22.0,0.0,West Guybury,Bouvet Island (Bouvetoya),46179.97
35,35.0,1.0,Phelpschester,Peru,51473.28
36,28.0,,Lake Melindamouth,Aruba,45593.93
37,57.0,1.0,North Richardburgh,Maldives,25583.29
38,23.0,0.0,Port Cassie,Senegal,30227.98
39,57.0,1.0,,Dominica,45580.92
40,,0.0,Johnstad,Luxembourg,61389.5
41,53.0,1.0,West Aprilport,Montenegro,56770.79
42,39.0,0.0,Kellytown,Ukraine,76435.3
43,46.0,1.0,Charlesport,Saint Helena,57425.87
44,39.0,0.0,Millerchester,Liberia,27508.41
45,29.0,0.0,Mackenziemouth,Russian Federation,57691.95
46,30.0,0.0,Zacharystad,Tunisia,59784.18
47,32.0,1.0,,Turkmenistan,66572.39
48,,0.0,Bowenview,Saint Helena,64929.61
49,25.0,0.0,,Niger,57519.64
50,52.0,1.0,Lake Cassandraport,Turkmenistan,53575.48
51,20.0,1.0,,Qatar,50983.75
52,43.0,0.0,Johnport,Sri Lanka,
53,37.0,1.0,Hamiltonfort,Trinidad and Tobago,52723.34
54,46.0,0.0,West Christopher,Italy,54286.1
55,23.0,1.0,Hollandberg,British Virgin Islands,61526.25
56,28.0,0.0,Odomville,United Kingdom,58526.04
57,45.0,1.0,,Guinea-Bissau,53350.11
58,50.0,1.0,South Lauraton,Micronesia,62657.53
59,47.0,0.0,Amandahaven,Turkey,62722.57
60,,0.0,Thomasview,Croatia,67479.62
61,36.0,0.0,Garciaside,Israel,
62,49.0,0.0,Port Sarahshire,Svalbard & Jan Mayen Islands,52336.64
63,29.0,0.0,,Azerbaijan,56113.37
64,41.0,0.0,Brendachester,,24852.9
65,27.0,,Lake Amy,Burundi,47708.42
66,34.0,1.0,Lake Annashire,Saint Vincent and the Grenadines,64654.66
67,29.0,0.0,Smithburgh,Burundi,71228.44
68,32.0,1.0,North Leonmouth,,61601.05
69,45.0,0.0,Robertfurt,Christmas Island,66281.46
70,29.0,1.0,Jasminefort,Canada,73910.9
71,,0.0,Jensenborough,Rwanda,51317.33
72,32.0,0.0,Bradleyburgh,Turks and Caicos Islands,51510.18
73,25.0,1.0,New Sheila,Tunisia,61005.87
74,34.0,0.0,North Regina,Norfolk Island,32536.98
75,31.0,,Davidmouth,Bouvet Island (Bouvetoya),60248.97
76,46.0,0.0,New Michaeltown,Turks and Caicos Islands,74543.81
77,39.0,1.0,East Tammie,Cook Islands,75509.61
78,,1.0,Wilcoxport,Turkey,42650.32
79,42.0,1.0,East Michaelmouth,Guatemala,58183.04
80,22.0,0.0,East Tiffanyport,Cote d'Ivoire,60465.72
81,35.0,1.0,Ramirezhaven,Faroe Islands,57009.76
82,33.0,1.0,Cranemouth,Qatar,54541.56
83,38.0,1.0,Lake Edward,Ireland,32689.04
84,45.0,0.0,Lake Conniefurt,Ukraine,55605.92
85,27.0,1.0,East Shawnchester,Moldova,63296.87
86,28.0,1.0,West Joseph,Nicaragua,
87,38.0,0.0,,Montserrat,61652.53
88,54.0,0.0,East Tylershire,Timor-Leste,30726.26
89,31.0,0.0,Sharpberg,Bouvet Island (Bouvetoya),74535.94
90,41.0,,Lake Dustin,Puerto Rico,47861.93
91,36.0,0.0,North Kristine,Central African Republic,73600.28
92,34.0,1.0,Grahamberg,Venezuela,58543.94
94,,1.0,Nelsonfurt,,37334.78
95,43.0,,Christopherport,Jersey,71392.53
96,,0.0,Port Sarahhaven,,59550.05
97,26.0,1.0,Bradleyborough,,64264.25
98,40.0,1.0,Whiteport,Greece,
99,,1.0,New Theresa,Antarctica (the territory South of 60 deg S),25686.34
100,26.0,,Wongland,Albania,52968.22
101,36.0,1.0,,Hong Kong,22473.08
102,41.0,,Williamsborough,Lithuania,
103,46.0,0.0,North Michael,Egypt,51868.85
104,34.0,1.0,Benjaminchester,Bangladesh,69456.83
105,53.0,0.0,Hernandezville,Western Sahara,31947.65
106,23.0,1.0,Youngburgh,Serbia,51864.77
107,40.0,0.0,Wallacechester,Maldives,59593.56
108,21.0,1.0,Sanchezmouth,Czech Republic,48376.14
109,20.0,0.0,Bradshawborough,Guernsey,56884.74
110,,1.0,Amyhaven,Tanzania,67186.54
111,25.0,1.0,Marcushaven,Bhutan,46557.92
112,42.0,0.0,Erinton,Christmas Island,66541.05
113,30.0,0.0,Hughesport,Guinea,33258.09
114,32.0,0.0,Johnstad,Micronesia,72272.9
115,60.0,0.0,New Lucasburgh,Madagascar,60333.38
116,53.0,1.0,Michelleside,Lebanon,65229.13
117,,0.0,Andersonton,Eritrea,56067.38
118,46.0,1.0,New Rachel,Guyana,
119,32.0,1.0,Port Susan,Trinidad and Tobago,
120,31.0,1.0,West Angelabury,Jersey,
121,,0.0,,,66815.54
122,42.0,1.0,Phillipsbury,Martinique,
123,50.0,0.0,Millerside,,
124,45.0,0.0,Lake Jessica,Bhutan,49269.98
125,31.0,1.0,Lopezmouth,Greece,57669.41
126,26.0,,Johnsport,Benin,56791.75
127,27.0,0.0,South Ronald,Papua New Guinea,63274.88
128,36.0,,South Daniel,Uzbekistan,35466.8
129,43.0,0.0,Suzannetown,South Africa,68787.09
130,31.0,0.0,Lisaberg,Egypt,61227.59
131,,,Brianfurt,Hungary,56366.88
132,45.0,0.0,Stewartbury,Falkland Islands (Malvinas),57868.44
133,27.0,0.0,Benjaminchester,Dominica,66618.21
134,37.0,0.0,North Wesleychester,Jersey,73104.47
135,,0.0,East Michelleberg,,21644.91
136,36.0,0.0,Port Eric,Saint Martin,53817.02
137,36.0,0.0,Timothyfurt,Cuba,76368.31
138,29.0,0.0,,United States Minor Outlying Islands,67633.44
139,47.0,0.0,,,50335.46
140,39.0,1.0,East Michele,Belize,17709.98
141,,0.0,East John,Antarctica (the territory South of 60 deg S),41229.16
142,38.0,1.0,Lesliebury,Saint Vincent and the Grenadines,42581.23
143,23.0,1.0,Patriciahaven,Kuwait,61617.98
144,38.0,,Ashleychester,Thailand,70575.6
145,31.0,,Lake Josetown,Gibraltar,64122.36
146,30.0,1.0,Debraburgh,,52097.32
147,44.0,1.0,New Debbiestad,Korea,65953.76
148,,1.0,West Shaun,Saint Helena,60192.72
149,41.0,0.0,Kimberlyhaven,Turks and Caicos Islands,77460.07
150,44.0,1.0,Port Lawrence,Czech Republic,45716.48
151,49.0,1.0,West Ricardo,Netherlands,65120.86
152,41.0,1.0,Lake Jose,Belarus,49995.63
153,46.0,0.0,Heatherberg,Dominica,71718.51
154,57.0,0.0,South George,South Africa,
155,25.0,1.0,Tinachester,New Zealand,
156,35.0,0.0,Port Jodi,,72524.86
157,48.0,1.0,Jonathantown,Kenya,36782.38
158,33.0,0.0,Sylviaview,Palau,66699.12
159,,1.0,,Timor-Leste,64287.78
160,38.0,1.0,West Roytown,Cambodia,56637.59
161,36.0,0.0,Codyburgh,Belize,55787.58
162,28.0,1.0,Port Erikhaven,Cuba,61142.33
163,27.0,1.0,Port Chasemouth,,61625.87
164,36.0,0.0,Ramirezside,Liechtenstein,73234.87
165,,1.0,East Michaeltown,,74166.24
166,33.0,1.0,West Courtney,Ukraine,62669.59
167,31.0,0.0,West Michaelhaven,Angola,57756.89
168,,,Walshhaven,Nauru,58019.64
169,50.0,0.0,East Rachelview,Equatorial Guinea,50960.08
170,32.0,0.0,Curtisport,Mongolia,
171,55.0,0.0,,,28271.84
172,31.0,1.0,,Timor-Leste,53767.12
173,42.0,1.0,,Brazil,43662.1
174,34.0,0.0,South Jennifer,Chad,62238.58
175,52.0,1.0,Kyleborough,Portugal,49030.03
177,31.0,0.0,South Daniellefort,Qatar,68094.85
178,26.0,0.0,Dianashire,Singapore,64395.85
179,48.0,0.0,East Eric,Guinea,70053.27
180,35.0,0.0,Hammondport,Kazakhstan,
181,44.0,0.0,Jacobstad,Kuwait,42995.8
182,,,Hernandezfort,Rwanda,
